position_name,position_mode,seed,epoch,train_context_length,eval_context_length,train_batch_size,eval_batch_size,train_loss,val_loss,val_perplexity,epoch_time_sec,train_throughput_tokens_per_sec,inference_throughput_tokens_per_sec,train_peak_gpu_memory_mb,eval_peak_gpu_memory_mb
rope,rope,42,0,512,512,16,16,7.077643905718302,6.4342480167265865,622.8140609690527,123.51377050899964,19262.75904456048,77356.60685792557,7868.51708984375,8332.611328125
rope,rope,42,0,512,1024,16,8,7.077643905718302,6.440369383494059,626.6382268839446,123.51377050899964,19262.75904456048,67474.92881278202,7868.51708984375,8334.6064453125
rope,rope,42,0,512,2048,16,4,7.077643905718302,6.458971468607585,638.4041001192821,123.51377050899964,19262.75904456048,54231.83892012507,7868.51708984375,8336.611328125
rope,rope,42,1,512,512,16,16,6.10452735874661,6.040825074718844,420.23962097442654,120.84234766500003,19688.594652229684,78132.58475678878,7868.51708984375,8332.611328125
rope,rope,42,1,512,1024,16,8,6.10452735874661,6.05135588645935,424.6884691863475,120.84234766500003,19688.594652229684,68255.999704343,7868.51708984375,8334.6064453125
rope,rope,42,1,512,2048,16,4,6.10452735874661,6.08511651357015,439.2709907229506,120.84234766500003,19688.594652229684,55090.26133136369,7868.51708984375,8336.611328125
rope,rope,42,2,512,512,16,16,5.668518800506067,5.803575792620259,331.4827568110976,121.202149447,19630.14691451819,77592.71154649253,7868.51708984375,8332.611328125
rope,rope,42,2,512,1024,16,8,5.668518800506067,5.814472579956055,335.1146057231005,121.202149447,19630.14691451819,67467.2350298069,7868.51708984375,8334.6064453125
rope,rope,42,2,512,2048,16,4,5.668518800506067,5.86089448928833,351.03800336088034,121.202149447,19630.14691451819,54334.50540473513,7868.51708984375,8336.611328125
rope,rope,42,3,512,512,16,16,5.350263025342803,5.642613795495802,282.19936676566493,121.50681033699992,19580.92713816805,77547.37655779012,7868.51708984375,8332.611328125
rope,rope,42,3,512,1024,16,8,5.350263025342803,5.65559663772583,285.8870028233021,121.50681033699992,19580.92713816805,67614.70508592714,7868.51708984375,8334.6064453125
rope,rope,42,3,512,2048,16,4,5.350263025342803,5.714945348103841,303.3676232405021,121.50681033699992,19580.92713816805,54651.9465366837,7868.51708984375,8336.611328125
rope,rope,42,4,512,512,16,16,5.096695878661375,5.524130898137247,250.6683869616859,121.79381075299987,19534.785760379025,77630.16775904564,7868.51708984375,8332.611328125
rope,rope,42,4,512,1024,16,8,5.096695878661375,5.542605543136597,255.3424392094037,121.79381075299987,19534.785760379025,67384.17454167514,7868.51708984375,8334.6064453125
rope,rope,42,4,512,2048,16,4,5.096695878661375,5.61508150100708,274.5357532239828,121.79381075299987,19534.785760379025,54441.85665599375,7868.51708984375,8336.611328125
rope,rope,42,5,512,512,16,16,4.887449133437114,5.437071507976901,229.76832254434063,121.88928763900005,19519.48400130562,77422.70868051071,7868.51708984375,8332.611328125
rope,rope,42,5,512,1024,16,8,4.887449133437114,5.457757822672526,234.5708847687438,121.88928763900005,19519.48400130562,67598.96046957439,7868.51708984375,8334.6064453125
rope,rope,42,5,512,2048,16,4,4.887449133437114,5.543012857437134,255.44646502058967,121.88928763900005,19519.48400130562,54546.39753978921,7868.51708984375,8336.611328125
rope,rope,42,6,512,512,16,16,4.7090288011478805,5.3731694375315024,215.5449424670676,121.92397004099983,19513.931503378142,77537.30358883372,7868.51708984375,8332.611328125
rope,rope,42,6,512,1024,16,8,4.7090288011478805,5.399587519963583,221.31510930999823,121.92397004099983,19513.931503378142,67721.45539436037,7868.51708984375,8334.6064453125
rope,rope,42,6,512,2048,16,4,4.7090288011478805,5.50232671101888,245.26192252341815,121.92397004099983,19513.931503378142,54542.16584265601,7868.51708984375,8336.611328125
rope,rope,42,7,512,512,16,16,4.549149208462115,5.334807980445124,207.4329138077361,122.03463105500032,19496.23626860232,77264.12308838908,7868.51708984375,8332.611328125
rope,rope,42,7,512,1024,16,8,4.549149208462115,5.368553638458252,214.5523229498704,122.03463105500032,19496.23626860232,67502.66055717344,7868.51708984375,8334.6064453125
rope,rope,42,7,512,2048,16,4,4.549149208462115,5.491756216684977,242.68303682208915,122.03463105500032,19496.23626860232,54533.78717021864,7868.51708984375,8336.611328125
rope,rope,42,8,512,512,16,16,4.404016779870102,5.303822901941115,201.1041437408716,122.24354916399987,19462.91658145563,76984.29362674472,7868.51708984375,8332.611328125
